Speed Up|Battle speed will be doubled|Tap the item while in battle|to toggle it on or off.|＠|
Catseye [Super Rare]|Raise level cap for one Super Rare Cat.|※Usable on Level 30 Cat Units.|＠||
Catseye [Uber Rare]|Raise level cap for one Uber Rare Cat.|※Usable on Level 30 Cat Units.|＠||
Catseye [Legend]|Raise level cap for any non-Normal Cat.|※Usable on Level 30 Cat Units.|＠||
Catamin [A]|GAMATOTO Expedition length|will be shortened by 1 hour.|＠||
Catamin [B]|GAMATOTO Expedition length|will be shortened by 3 hours.|＠||
Catamin [C]|GAMATOTO Expedition length|will be shortened by 6 hours.|＠||
|＠||||
|＠||||
Cat Cannon Attack|Increases Cat Cannon attack power.|But also increases recharge time...||＠|
Cat Cannon Range|Increases Cat Cannon attack range.|||＠|
Cat Cannon Charge|Decreases Cat Cannon recharge time.|||＠|
Worker Cat Rate|Increases the Worker Cat's efficiency,|increasing rate of income.||＠|
Worker Cat Wallet|Increases the Worker Cat's wallet,|increasing the upper limit of income.||＠|
Base Defense|Increases the health of the Cat Base.|||＠|
Research|Increases Cat production speed.|||＠|
Accountant|Increases the money earned|when defeating an enemy.||＠|
Study|Increases the amount of XP|received when clearing a stage.||＠|
Cat Energy|Increases the max limit of Cat Energy.|You require Cat Energy to continue fighting.||＠|
Cat Ally: Dummy 1|＠||||
Cat Ally: Dummy 2|＠||||
Cat Ally: Dummy 3|＠||||
Cat Ally: Dummy 4|＠||||
Cat Ally: Dummy 5|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket G|＠||||
XP 100000|＠||||
|＠||||
XP|Purchase XP to power up your Cat Units!|＠|＠|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠|＠|
Bricks|Building materials for a mighty Cat Base.|＠|＠|＠|
Feathers|Building materials for a mighty Cat Base.|＠|＠|＠|
Coal|Building materials for a mighty Cat Base.|＠|＠|＠|
Sprockets|Building materials for a mighty Cat Base.|＠|＠|＠|
Gold|Building materials for a mighty Cat Base.|＠|＠|＠|
Meteorite|Building materials for a mighty Cat Base.|＠|＠|＠|
Beast Bones|Building materials for a mighty Cat Base.|＠|＠|＠|
Engineers|Assistants needed to build a Cat Base.|＠|＠|＠|
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Leadership|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Restart Pack|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠
Lucky Ticket G|＠
Lucky Ticket G|＠
Lucky Ticket G|＠
Lucky Ticket|＠
Lucky Ticket G|＠
Lucky Ticket|＠
Lucky Ticket G|＠
Lucky Ticket|＠
Bikkuriman Choco|＠
Lucky Ticket G|＠
Lucky Ticket|＠
Ammonite|Building materials for a mighty Cat Base.|＠|＠|＠|
Lucky Ticket G|＠
Lucky Ticket G|＠
Lucky Ticket|＠
Lucky Ticket G|＠
Legend Ticket |＠
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Lucky Ticket G|＠|||
Endless Rich Cats for 3 hours|＠|||
Endless Cat CPUs for 3 hours|＠|||
Endless Sniper the Cats for 3 hours|＠|||
Lucky Ticket G|＠|||
Lucky Ticket|＠|||
Lucky Ticket G|＠|||
Platinum Shard|＠|||
Legend Net|＠|||
5000 XP|＠|||
Aku Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠|
Aku Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠|
|＠|||
|＠|||
Gold Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠|
|＠|||
Love Letter|＠|||
Purple Behemoth Stone|A stone that allows Cats to change their class.|May come from a different dimension.|＠|
Red Behemoth Stone|A stone that allows Cats to change their class.|May come from a different dimension.|＠|
Blue Behemoth Stone|A stone that allows Cats to change their class.|May come from a different dimension.|＠|
Green Behemoth Stone|A stone that allows Cats to change their class.|May come from a different dimension.|＠|
Yellow Behemoth Stone|A stone that allows Cats to change their class.|May come from a different dimension.|＠|
Holy Water|＠|||
